adjusted points,att bps,cost,def bps,event id,ga,gd,gf,home,mins,opponent,pas bps,player id,player name,points,position id,round,season,team id
3.0,1.0,,0.0,5.0,,,,1.0,90.0,TOR,0.0,366.0,Joao Plata,3.0,4.0,1.0,2017.0,
8.0,0.0,,1.0,9.0,,,,1.0,90.0,MTL,0.0,370.0,David Bingham,8.0,1.0,1.0,2017.0,
8.0,0.0,,1.0,9.0,,,,1.0,90.0,MTL,0.0,372.0,Victor Bernardez,8.0,2.0,1.0,2017.0,
7.0,0.0,,0.0,9.0,,,,1.0,90.0,MTL,0.0,374.0,Shaun Francis,7.0,2.0,1.0,2017.0,
9.0,0.0,,2.0,9.0,,,,1.0,90.0,MTL,0.0,376.0,Nick Lima,9.0,2.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,1.0,90.0,MTL,0.0,380.0,Fatai Alashe,2.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,9.0,,,,1.0,69.0,MTL,0.0,383.0,Simon Dawkins,3.0,3.0,1.0,2017.0,
15.0,3.0,,3.0,9.0,,,,1.0,90.0,MTL,1.0,384.0,Anibal Godoy,15.0,3.0,1.0,2017.0,
4.0,1.0,,0.0,9.0,,,,1.0,68.0,MTL,0.0,388.0,Tommy Thompson,4.0,3.0,1.0,2017.0,
8.0,2.0,,1.0,9.0,,,,1.0,90.0,MTL,0.0,391.0,Chris Wondolowski,8.0,4.0,1.0,2017.0,
2.0,0.0,,0.0,9.0,,,,1.0,78.0,MTL,0.0,392.0,Marcos Urena,2.0,4.0,1.0,2017.0,
2.0,0.0,,1.0,7.0,,,,0.0,90.0,HOU,0.0,393.0,Stefan Frei,2.0,1.0,1.0,2017.0,
3.0,0.0,,2.0,7.0,,,,0.0,90.0,HOU,0.0,399.0,Joevin Jones,3.0,2.0,1.0,2017.0,
5.0,0.0,,4.0,7.0,,,,0.0,90.0,HOU,1.0,400.0,Chad Marshall,5.0,2.0,1.0,2017.0,
3.0,0.0,,3.0,7.0,,,,0.0,90.0,HOU,0.0,401.0,Roman Torres,3.0,2.0,1.0,2017.0,
6.0,0.0,,2.0,7.0,,,,0.0,90.0,HOU,2.0,403.0,Osvaldo Alonso,6.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,7.0,,,,0.0,75.0,HOU,0.0,404.0,Alvaro Fernandez,2.0,3.0,1.0,2017.0,
5.0,1.0,,0.0,7.0,,,,0.0,90.0,HOU,2.0,406.0,Nicolas Lodeiro,5.0,3.0,1.0,2017.0,
5.0,0.0,,2.0,7.0,,,,0.0,90.0,HOU,1.0,407.0,Cristian Roldan,5.0,3.0,1.0,2017.0,
9.0,1.0,,0.0,7.0,,,,0.0,90.0,HOU,1.0,412.0,Clint Dempsey,9.0,4.0,1.0,2017.0,
2.0,0.0,,0.0,7.0,,,,0.0,90.0,HOU,0.0,414.0,Jordan Morris,2.0,4.0,1.0,2017.0,
3.0,0.0,,0.0,7.0,,,,0.0,84.0,HOU,1.0,415.0,Gustav Svensson,3.0,3.0,1.0,2017.0,
9.0,0.0,,2.0,6.0,,,,0.0,90.0,DC,0.0,417.0,Tim Melia,14.0,1.0,1.0,2017.0,
8.0,0.0,,1.0,6.0,,,,0.0,90.0,DC,0.0,420.0,Matt Besler,8.0,2.0,1.0,2017.0,
9.0,1.0,,1.0,6.0,,,,0.0,90.0,DC,0.0,423.0,Jimmy Medranda,9.0,2.0,1.0,2017.0,
9.0,0.0,,2.0,6.0,,,,0.0,90.0,DC,0.0,424.0,Ike Opara,9.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,6.0,,,,0.0,90.0,DC,1.0,427.0,Seth Sinovic,8.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,6.0,,,,0.0,90.0,DC,0.0,428.0,Roger Espinoza,3.0,3.0,1.0,2017.0,
5.0,1.0,,1.0,6.0,,,,0.0,90.0,DC,0.0,429.0,Benny Feilhaber,5.0,3.0,1.0,2017.0,
