2018_player_id,2018_player_name,2018_position_id,2018_team_id,2017_player_id,2017_position_id
47681,Federico Higuain,3,454,63,3
48759,Simon Dawkins,3,1131,383,3
49438,Jordon Mutch,3,1708,,
49483,Harrison Afful,2,454,51,2
49841,Victor Vazquez,3,2077,571,3
49876,Vadim Demidov,2,6977,523,2
50051,Caleb Patterson-Sewell,1,2077,,
50067,Brek Shea,2,1708,292,3
50081,Shea Salinas,2,1131,386,3
50102,Chance Myers,2,1581,327,2
50105,Roger Espinoza,3,421,428,3
50122,Sean Franklin,2,1708,81,2
50136,Tony Beltran,2,1899,349,2
50143,David Horst,2,1899,355,2
51133,Chris Tierney,2,928,204,2
51774,Gustav Svensson,3,3500,415,3
51937,Florian Jungwirth,3,1131,544,2
52629,David Ousted,1,1326,466,1
53477,Edgar Castillo,2,436,,
53526,Efrain Juarez,3,1708,,
54862,Vytautas Andriuskevicius,2,1581,332,2
54916,Jared Jeffrey,3,1326,91,3
54980,Danny Hoesen,3,1131,543,4
55209,Boniek Garcia,3,1897,140,3
55758,Ola Kamara,4,1230,74,4
55817,Diego Valeri,3,1581,338,3
55820,Sebastian Blanco,3,1581,541,3
55831,Maximiliano Moralez,3,9668,559,3
56812,Felipe Martins,3,1708,255,3
56949,Mauro Diaz,3,1903,114,3
57876,Maxime Chanot,2,9668,225,2
58634,Kelvin Leerdam,2,3500,635,2
59059,Alfredo Ortuno,4,1899,,
59848,Mike Grella,3,454,256,3
60032,Jerome Thiesson,2,6977,566,2
60132,Baggio Husidic,3,1230,185,3
60152,Chris Pontius,3,1230,314,3
60153,Rodney Wallace,3,9668,562,3
60207,Matt Besler,2,421,420,2
60210,Graham Zusi,2,421,435,3
60214,A.J. DeLaGarza,2,1897,,
60225,Quincy Amarikwa,4,1131,390,4
60235,Sam Cronin,3,6977,37,3
60238,Stefan Frei,1,3500,393,1
60244,Osvaldo Alonso,3,3500,403,3
60318,Dom Dwyer,4,6900,437,4
60490,Danny Wilson,2,436,,
60536,Dejan Jakovic,2,11690,,
60716,Gaston Sauro,2,454,57,2
60906,Lamine Sane,2,6900,,
61090,Andrew Dykstra,1,436,416,1
61770,Alejandro Bedoya,3,5513,308,3
61934,Jo Inge Berget,4,9668,,
61993,Muhamed Keita,3,399,643,3
62535,Jukka Raitala,2,1616,56,2
62839,Tosaint Ricketts,4,2077,464,4
63800,Jorgen Skjelvik,2,1230,,
63954,Rasmus Schuller,3,6977,534,3
66238,Michael de Leeuw,4,1207,20,4
66244,Samuel Armenteros,4,1581,,
66284,Anton Tinnerholm,2,9668,,
66553,Magnus Eriksson,3,1131,,
66857,Kevin Kratz,3,11091,509,3
66905,Jonathan Mensah,2,454,54,2
67704,Antonio Delamea,2,928,,
68259,Chris Mavinga,2,2077,465,2
68431,Damir Kreilach,3,1899,,
68571,Lamar Neagle,3,3500,92,3
69194,Borek Dockal,3,5513,,
72775,Stefan Marinovic,1,1708,638,1
73442,Joe Mason,4,436,,
76688,Jonathan dos Santos,3,1230,640,3
77521,Bobby Shuttleworth,1,6977,200,1
77755,Marcos Urena,4,11690,392,4
77756,David Guzman,3,1581,340,3
77952,Kevin Molino,3,6977,535,3
77992,Nicolas Lodeiro,3,3500,406,3
77994,Marcelo Silva,2,1899,,
78008,Magnus Eikrem,3,3500,,
78013,Sean Johnson,1,9668,221,1
78015,Dillon Powers,3,6900,40,3
78019,Aaron Maund,2,1708,351,2
78023,Ike Opara,2,421,424,2
82064,Nemanja Nikolic,4,1207,21,4
82516,Tony Tchani,3,1207,70,3
82518,Eric Alexander,3,1897,138,3
82519,Jose Leonardo Ribeiro da Silva,2,1897,134,2
82524,Teal Bunbury,3,928,209,3
82526,Seth Sinovic,2,421,427,2
82752,Saphir Taider,3,1616,,
82845,Steven Beitashour,2,11690,447,2
83005,Aleksandar Katai,3,1207,,
83055,Aleksandar Katai,3,1207,,
83065,Justin Morrow,2,2077,451,2
83072,Collen Warner,3,6977,536,3
83378,Chris Schuler,2,6900,353,2
83725,Felipe Gutierrez,3,421,,
83905,Juan Agudelo,4,928,217,4
84481,Albert Rusnak,3,1899,362,3
84752,Daniel Royer,3,399,261,3
84760,Marc Rzatkowksi,3,399,,
85682,Zakaria Diallo,2,1616,,
86140,Romain Alessandrini,3,1230,197,3
86155,Ilie Sanchez,3,421,434,3
86898,Johan Kappelhof,2,1207,6,2
86938,Tim Melia,1,421,417,1
87984,Nicolas Mezquida,3,1708,486,3
88147,Nicolas Hasler,2,2077,637,2
88460,Alex Horwath,1,1899,,
88534,Sebastian Lletget,3,1230,188,3
88812,Doneil Henry,2,1708,,
88909,Alexander Ring,3,9668,240,3
88940,Valeri Qazaishvili,3,1131,,
90644,Jon Kempin,1,454,599,1
90764,Cristian Lobato,3,421,636,3
91373,Victor Rodriguez,3,3500,656,3
92202,Pedro Santos,3,454,,
92437,Russell Teibert,3,1708,488,3
94305,Jeff Attinella,1,1581,320,1
94368,Justin Meram,3,6900,67,3
94479,Josh Williams,2,454,58,2
94932,David Bingham,1,1230,370,1
94934,Hector Jimenez,2,454,65,3
95186,Fanendo Adi,4,1581,341,4
95228,Jalil Anibaba,2,928,132,2
95236,Zarek Valentin,2,1581,331,2
95259,Servando Carrasco,3,1230,282,3
95261,Darlington Nagbe,3,11091,337,3
95272,Will Bruin,4,3500,411,4
95276,Zac MacMath,1,436,27,1
95277,Perry Kitchen,3,1230,,
95278,Joao Plata,3,1899,366,4
95280,Victor Ulloa,3,1903,121,3
95281,Brian Sylvestre,1,1230,,
95284,Diego Fagundez,3,928,211,3
95287,Jack McBean,4,436,194,4
95297,Jake Gleeson,1,1581,321,1
95298,Richard Sanchez,1,1207,663,1
95309,Joe Willis,1,1897,130,1
95320,Kevin Ellis,2,1207,421,2
95321,C.J. Sapong,4,5513,,
95330,Michael Boxall,2,6977,629,2
95545,Mohammed Abu,3,454,59,3
95611,Joe Bendik,1,6900,267,1
95630,Ashtone Morgan,2,2077,450,2
95778,Jimmy Maurer,1,1903,,
95780,Leandro Gonzalez Pirez,2,11091,501,2
96201,Donny Toia,2,6900,280,2
96622,Diego Chara,3,1581,336,3
97016,Shawn Barry,2,1899,,
97607,Maximiliano Urruti,4,1903,125,4
98898,Yoshi Yotun,3,6900,,
98925,Andres Flores,3,1581,,
99103,Harold Cummings,2,1131,379,2
99108,Adolfo Machado,2,1897,135,2
99117,Anibal Godoy,3,1131,384,3
99122,Francisco Calvo,2,6977,521,2
101135,Cody Cropper,1,928,198,1
101172,Soony Saad,4,421,443,4
102208,Diego Rubio,4,421,440,4
102456,Oriol Rosell,3,6900,,
102626,Clement Diop,1,1616,175,1
102921,Bernie Ibini,3,1708,,
103903,Adam Henley,2,1899,,
104369,Yohan Croizet,3,421,,
105713,Wilfried Zahibo,3,928,,
106519,Lawrence Olum,3,1581,433,3
107672,Bryan Meredith,1,3500,394,1
107978,Johan Blomberg,3,436,,
109275,Evan Bush,1,1616,150,1
109320,Gerso Fernandes,4,421,430,3
109699,Connor Lade,2,399,249,2
110118,Matt Lampson,1,6977,2,1
110209,Greg Garza,2,11091,497,2
110557,RJ Allen,2,6900,223,2
110575,Warren Creavalle,3,5513,310,3
110580,Nick DeLeon,2,1326,88,3
110583,Ethan Finlay,3,6977,61,3
110592,Matt Hedges,2,1903,109,2
110596,Miguel Ibarra,3,6977,528,3
110606,Calum Mallace,3,11690,165,3
110607,Enzo Martinez,3,436,,
110608,Darren Mattocks,4,1326,343,4
