event_id,home,opp_adjusted_points,opp_aps,opp_ass,opp_att_bps,opp_att_points,opp_bc,opp_blk,opp_br,opp_cl,opp_crs,opp_def_bps,opp_def_points,opp_elg,opp_gls,opp_intc,opp_kp,opp_og,opp_oga,opp_pas_bps,opp_pcp,opp_pe,opp_pm,opp_ps,opp_pss,opp_rc,opp_sh,opp_sv,opp_tck,opp_total_bps,opp_wf,opp_yc,opponent,round,season,team,team_adjusted_points,team_aps,team_ass,team_att_bps,team_att_points,team_bc,team_blk,team_br,team_cl,team_crs,team_def_bps,team_def_points,team_elg,team_gls,team_intc,team_kp,team_og,team_oga,team_pas_bps,team_pcp,team_pe,team_pm,team_ps,team_pss,team_rc,team_sh,team_sv,team_tck,team_total_bps,team_wf,team_yc
11,0,69.0,321.0,0.0,0.0,0.0,0.0,2.0,66.0,25.0,2.0,13.0,46.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.781021897810219,0.0,0.0,0.0,411.0,0.0,12.0,5.0,16.0,14.0,12.0,1.0,VAN,1,2017,PHI,66.0,387.0,0.0,1.0,1.0,0.0,6.0,57.0,21.0,6.0,9.0,38.0,0.0,0.0,12.0,5.0,0.0,0.0,4.0,0.7755511022044088,0.0,0.0,0.0,499.0,0.0,7.0,0.0,16.0,14.0,9.0,1.0
11,1,66.0,387.0,0.0,1.0,1.0,0.0,6.0,57.0,21.0,6.0,9.0,38.0,0.0,0.0,12.0,5.0,0.0,0.0,4.0,0.7755511022044088,0.0,0.0,0.0,499.0,0.0,7.0,0.0,16.0,14.0,9.0,1.0,PHI,1,2017,VAN,69.0,321.0,0.0,0.0,0.0,0.0,2.0,66.0,25.0,2.0,13.0,46.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.781021897810219,0.0,0.0,0.0,411.0,0.0,12.0,5.0,16.0,14.0,12.0,1.0
12,1,28.0,384.0,0.0,3.0,3.0,1.0,1.0,71.0,15.0,4.0,7.0,2.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.768,0.0,0.0,0.0,500.0,0.0,12.0,2.0,14.0,10.0,11.0,1.0,RSL,2,2017,CHI,88.0,259.0,1.0,1.0,14.0,0.0,6.0,75.0,61.0,2.0,21.0,49.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.696236559139785,0.0,0.0,0.0,372.0,0.0,6.0,1.0,18.0,22.0,14.0,0.0
12,0,88.0,259.0,1.0,1.0,14.0,0.0,6.0,75.0,61.0,2.0,21.0,49.0,0.0,2.0,7.0,4.0,0.0,0.0,0.0,0.696236559139785,0.0,0.0,0.0,372.0,0.0,6.0,1.0,18.0,22.0,14.0,0.0,CHI,2,2017,RSL,28.0,384.0,0.0,3.0,3.0,1.0,1.0,71.0,15.0,4.0,7.0,2.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.768,0.0,0.0,0.0,500.0,0.0,12.0,2.0,14.0,10.0,11.0,1.0
13,1,24.0,279.0,0.0,2.0,2.0,1.0,1.0,49.0,15.0,4.0,8.0,-1.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,0.7581521739130435,0.0,0.0,0.0,368.0,1.0,8.0,3.0,18.0,10.0,21.0,2.0,ORL,26,2017,NE,112.0,335.0,6.0,8.0,46.0,5.0,1.0,58.0,25.0,5.0,10.0,39.0,0.0,4.0,8.0,8.0,0.0,0.0,4.0,0.8111380145278451,0.0,0.0,0.0,413.0,0.0,12.0,3.0,12.0,22.0,16.0,1.0
13,0,112.0,335.0,6.0,8.0,46.0,5.0,1.0,58.0,25.0,5.0,10.0,39.0,0.0,4.0,8.0,8.0,0.0,0.0,4.0,0.8111380145278451,0.0,0.0,0.0,413.0,0.0,12.0,3.0,12.0,22.0,16.0,1.0,NE,26,2017,ORL,24.0,279.0,0.0,2.0,2.0,1.0,1.0,49.0,15.0,4.0,8.0,-1.0,1.0,0.0,11.0,7.0,0.0,0.0,0.0,0.7581521739130435,0.0,0.0,0.0,368.0,1.0,8.0,3.0,18.0,10.0,21.0,2.0
14,0,73.0,409.0,0.0,4.0,4.0,1.0,0.0,85.0,18.0,2.0,17.0,47.0,0.0,1.0,20.0,8.0,0.0,1.0,0.0,0.7226148409893993,0.0,0.0,0.0,566.0,0.0,13.0,1.0,32.0,21.0,12.0,3.0,NY,2,2017,COL,45.0,210.0,0.0,0.0,0.0,0.0,2.0,89.0,28.0,1.0,23.0,23.0,0.0,0.0,24.0,3.0,1.0,0.0,0.0,0.5932203389830508,0.0,0.0,0.0,354.0,0.0,3.0,7.0,33.0,23.0,11.0,1.0
14,1,45.0,210.0,0.0,0.0,0.0,0.0,2.0,89.0,28.0,1.0,23.0,23.0,0.0,0.0,24.0,3.0,1.0,0.0,0.0,0.5932203389830508,0.0,0.0,0.0,354.0,0.0,3.0,7.0,33.0,23.0,11.0,1.0,COL,2,2017,NY,73.0,409.0,0.0,4.0,4.0,1.0,0.0,85.0,18.0,2.0,17.0,47.0,0.0,1.0,20.0,8.0,0.0,1.0,0.0,0.7226148409893993,0.0,0.0,0.0,566.0,0.0,13.0,1.0,32.0,21.0,12.0,3.0
15,1,49.0,329.0,1.0,4.0,18.0,1.0,3.0,76.0,19.0,1.0,13.0,8.0,0.0,2.0,14.0,3.0,0.0,0.0,1.0,0.732739420935412,1.0,0.0,0.0,449.0,0.0,5.0,1.0,22.0,18.0,22.0,2.0,TOR,2,2017,PHI,59.0,308.0,3.0,4.0,23.0,2.0,1.0,86.0,24.0,4.0,17.0,12.0,0.0,2.0,15.0,5.0,0.0,0.0,0.0,0.7247058823529412,1.0,1.0,0.0,425.0,0.0,10.0,1.0,22.0,21.0,14.0,1.0
15,0,59.0,308.0,3.0,4.0,23.0,2.0,1.0,86.0,24.0,4.0,17.0,12.0,0.0,2.0,15.0,5.0,0.0,0.0,0.0,0.7247058823529412,1.0,1.0,0.0,425.0,0.0,10.0,1.0,22.0,21.0,14.0,1.0,PHI,2,2017,TOR,49.0,329.0,1.0,4.0,18.0,1.0,3.0,76.0,19.0,1.0,13.0,8.0,0.0,2.0,14.0,3.0,0.0,0.0,1.0,0.732739420935412,1.0,0.0,0.0,449.0,0.0,5.0,1.0,22.0,18.0,22.0,2.0
