2018_player_id,player_name,2018_position_id,team_id
60214,A.J. DeLaGarza,2,1897
60225,Quincy Amarikwa,4,1131
60235,Sam Cronin,3,6977
60238,Stefan Frei,1,3500
60244,Osvaldo Alonso,3,3500
60318,Dom Dwyer,4,6900
60490,Danny Wilson,2,436
60536,Dejan Jakovic,2,11690
60716,Gaston Sauro,2,454
60906,Lamine Sane,2,6900
61090,Andrew Dykstra,1,436
61770,Alejandro Bedoya,3,5513
61934,Jo Inge Berget,4,9668
61993,Muhamed Keita,3,399
62535,Jukka Raitala,2,1616
62839,Tosaint Ricketts,4,2077
63800,Jorgen Skjelvik,2,1230
63954,Rasmus Schuller,3,6977
66238,Michael de Leeuw,4,1207
66244,Samuel Armenteros,4,1581
66284,Anton Tinnerholm,2,9668
66553,Magnus Eriksson,3,1131
66857,Kevin Kratz,3,11091
66905,Jonathan Mensah,2,454
67704,Antonio Delamea,2,928
68259,Chris Mavinga,2,2077
68431,Damir Kreilach,3,1899
68571,Lamar Neagle,3,3500
69194,Borek Dockal,3,5513
72775,Stefan Marinovic,1,1708
73442,Joe Mason,4,436
76688,Jonathan dos Santos,3,1230
77521,Bobby Shuttleworth,1,6977
77755,Marcos Urena,4,11690
77756,David Guzman,3,1581
77952,Kevin Molino,3,6977
77992,Nicolas Lodeiro,3,3500
77994,Marcelo Silva,2,1899
78008,Magnus Eikrem,3,3500
78013,Sean Johnson,1,9668
78015,Dillon Powers,3,6900
78019,Aaron Maund,2,1708
78023,Ike Opara,2,421
82064,Nemanja Nikolic,4,1207
82516,Tony Tchani,3,1207
82518,Eric Alexander,3,1897
82519,Jose Leonardo Ribeiro da Silva,2,1897
82524,Teal Bunbury,3,928
82526,Seth Sinovic,2,421
82752,Saphir Taider,3,1616
82845,Steven Beitashour,2,11690
83005,Aleksandar Katai,3,1207
83055,Aleksandar Katai,3,1207
83065,Justin Morrow,2,2077
83072,Collen Warner,3,6977
83378,Chris Schuler,2,6900
83725,Felipe Gutierrez,3,421
83905,Juan Agudelo,4,928
84481,Albert Rusnak,3,1899
84752,Daniel Royer,3,399
84760,Marc Rzatkowksi,3,399
85682,Zakaria Diallo,2,1616
86140,Romain Alessandrini,3,1230
86155,Ilie Sanchez,3,421
86898,Johan Kappelhof,2,1207
86938,Tim Melia,1,421
87984,Nicolas Mezquida,3,1708
88147,Nicolas Hasler,2,2077
88460,Alex Horwath,1,1899
88534,Sebastian Lletget,3,1230
88812,Doneil Henry,2,1708
88909,Alexander Ring,3,9668
88940,Valeri Qazaishvili,3,1131
90644,Jon Kempin,1,454
90764,Cristian Lobato,3,421
91373,Victor Rodriguez,3,3500
92202,Pedro Santos,3,454
92437,Russell Teibert,3,1708
94305,Jeff Attinella,1,1581
94368,Justin Meram,3,6900
94479,Josh Williams,2,454
94932,David Bingham,1,1230
94934,Hector Jimenez,2,454
95186,Fanendo Adi,4,1581
95228,Jalil Anibaba,2,928
95236,Zarek Valentin,2,1581
95259,Servando Carrasco,3,1230
95261,Darlington Nagbe,3,11091
95272,Will Bruin,4,3500
95276,Zac MacMath,1,436
95277,Perry Kitchen,3,1230
95278,Joao Plata,3,1899
95280,Victor Ulloa,3,1903
95281,Brian Sylvestre,1,1230
95284,Diego Fagundez,3,928
95287,Jack McBean,4,436
95297,Jake Gleeson,1,1581
95298,Richard Sanchez,1,1207
95309,Joe Willis,1,1897
95320,Kevin Ellis,2,1207
95321,C.J. Sapong,4,5513
95330,Michael Boxall,2,6977
95545,Mohammed Abu,3,454
95611,Joe Bendik,1,6900
95630,Ashtone Morgan,2,2077
95778,Jimmy Maurer,1,1903
95780,Leandro Gonzalez Pirez,2,11091
96201,Donny Toia,2,6900
96622,Diego Chara,3,1581
97016,Shawn Barry,2,1899
