player,points,position id,price,last 4 avg,last 4,last 2 avg,(price / 1.5) * 5,need
Graham Zusi,152,2,8.0,7.5,30.0,8.0,26.666666666666668,-3.333333333333332
Quincy Amarikwa,15,4,4.6,2.25,9.0,1.5,15.333333333333334,6.333333333333334
Stefan Frei,77,1,6.5,6.25,25.0,3.0,21.666666666666668,-3.333333333333332
Osvaldo Alonso,62,3,7.7,4.75,19.0,5.5,25.666666666666668,6.666666666666668
Dom Dwyer,81,4,9.2,6.0,24.0,7.0,30.666666666666668,6.666666666666668
Danny Wilson,50,2,5.0,2.75,11.0,1.5,16.666666666666668,5.666666666666668
Dejan Jakovic,23,2,4.5,1.5,6.0,2.0,15.0,9.0
Gaston Sauro,9,2,5.0,1.5,6.0,1.5,16.666666666666668,10.666666666666668
Lamine Sane,46,2,5.5,2.25,9.0,2.5,18.333333333333332,9.333333333333332
Danilo da Silva,1,2,4.9,1.0,4.0,1.0,16.333333333333332,12.333333333333332
Alejandro Bedoya,119,3,7.8,4.25,17.0,4.5,26.0,9.0
Jo Inge Berget,61,4,8.0,5.25,21.0,6.0,26.666666666666668,5.666666666666668
Jukka Raitala,61,2,5.4,3.5,14.0,2.0,18.0,4.0
Tosaint Ricketts,26,4,5.3,2.25,9.0,3.5,17.666666666666668,8.666666666666668
Jorgen Skjelvik,81,2,5.1,2.0,8.0,1.5,17.0,9.0
Rasmus Schuller,107,3,7.5,6.5,26.0,5.0,25.0,-1.0
Samuel Armenteros,63,4,9.2,6.75,27.0,5.0,30.666666666666668,3.666666666666668
Anton Tinnerholm,119,2,7.5,10.0,40.0,4.5,25.0,-15.0
Magnus Eriksson,112,3,8.0,2.75,11.0,3.0,26.666666666666668,15.666666666666668
Kevin Kratz,53,3,4.8,2.75,11.0,3.5,16.0,5.0
Jonathan Mensah,109,2,6.5,3.0,12.0,4.0,21.666666666666668,9.666666666666668
Antonio Delamea,33,2,5.5,4.25,17.0,2.0,18.333333333333332,1.3333333333333321
Chris Mavinga,31,2,5.6,3.25,13.0,5.0,18.666666666666668,5.666666666666668
Damir Kreilach,117,3,8.5,7.25,29.0,8.5,28.333333333333332,-0.6666666666666679
Lamar Neagle,6,3,4.5,1.25,5.0,2.0,15.0,10.0
Borek Dockal,117,3,9.9,5.5,22.0,6.5,33.0,11.0
Stefan Marinovic,29,1,4.8,2.0,8.0,2.5,16.0,8.0
Joe Mason,32,4,4.0,2.75,11.0,1.5,13.333333333333334,2.333333333333334
Jonathan dos Santos,87,3,9.0,6.5,26.0,6.5,30.0,4.0
Bobby Shuttleworth,49,1,5.4,3.25,13.0,1.5,18.0,5.0
Marco Urena,37,4,7.0,1.25,5.0,1.5,23.333333333333332,18.333333333333332
David Guzman,24,3,7.0,4.75,19.0,6.0,23.333333333333332,4.333333333333332
Kevin Molino,19,3,9.0,9.0,36.0,9.0,30.0,-6.0
Nicolas Lodeiro,139,3,12.0,10.5,42.0,10.5,40.0,-2.0
Marcelo Silva,71,2,6.0,6.25,25.0,6.5,20.0,-5.0
Magnus Eikrem,39,3,4.0,2.0,8.0,2.0,13.333333333333334,5.333333333333334
Sean Johnson,86,1,6.0,6.25,25.0,4.5,20.0,-5.0
Dillon Powers,4,3,6.5,2.5,10.0,2.5,21.666666666666668,11.666666666666668
Sheanon Williams,1,2,4.5,1.0,4.0,1.0,15.0,11.0
Aaron Maund,17,2,5.0,4.0,16.0,6.0,16.666666666666668,0.6666666666666679
Ike Opara,130,2,7.5,5.75,23.0,6.5,25.0,2.0
Nemanja Nikolic,82,4,9.5,6.5,26.0,5.0,31.666666666666668,5.666666666666668
Tony Tchani,43,3,5.7,3.5,14.0,2.5,19.0,5.0
Eric Alexander,64,3,6.0,2.5,10.0,2.0,20.0,10.0
Jose Leonardo Ribeiro da Silva,60,2,5.7,3.25,13.0,2.5,19.0,6.0
Teal Bunbury,107,4,8.1,3.5,14.0,5.0,27.0,13.0
Seth Sinovic,50,2,5.5,3.75,15.0,6.5,18.333333333333332,3.333333333333332
Saphir Taider,167,3,10.0,8.0,32.0,6.0,33.333333333333336,1.3333333333333357
Steven Beitashour,101,2,6.8,3.75,15.0,2.0,22.666666666666668,7.666666666666668
Aleksandar Katai,133,3,9.5,2.75,11.0,2.0,31.666666666666668,20.666666666666668
