cost,event_id,home,opponent,player_id,player_name,position_id,round,season,team,dgw,alt_player_id,unique_round,dataset
6.6,1040184,0,CLB,41700.0,Jonathan Bornstein,2.0,26,2019,CHI,0,41700,94.0,live
5.0,1040187,1,MIN,149779.0,Alejandro Guido,3.0,26,2019,LAFC,0,149779,94.0,live
4.9,1040184,0,CLB,244988.0,Brandt Bronico,3.0,26,2019,CHI,0,244988,94.0,live
4.9,1040187,1,MIN,110954.0,Mohamed El-Munir,2.0,26,2019,LAFC,0,110954,94.0,live
8.5,1040187,1,MIN,111847.0,Adama Diomande,4.0,26,2019,LAFC,0,111847,94.0,live
4.0,1040192,1,RSL,198572.0,Foster Langsdorf,4.0,26,2019,POR,0,198572,94.0,live
4.2,1040192,1,RSL,247622.0,Marvin Loria,3.0,26,2019,POR,0,247622,94.0,live
8.4,1040192,1,RSL,41004.0,Larrys Mabiala,2.0,26,2019,POR,0,41004,94.0,live
4.0,1040192,1,RSL,164479.0,Kendall McIntosh,1.0,26,2019,POR,0,164479,94.0,live
5.2,1040192,1,RSL,111750.0,Lucas Melano,4.0,26,2019,POR,0,111750,94.0,live
8.4,1040192,1,RSL,78116.0,Jorge Moreira,2.0,26,2019,POR,0,78116,94.0,live
7.0,1040192,1,RSL,217784.0,Cristhian Paredes,3.0,26,2019,POR,0,217784,94.0,live
5.8,1040192,1,RSL,179298.0,Andy Polo,3.0,26,2019,POR,0,179298,94.0,live
4.4,1040192,1,RSL,175077.0,Bill Tuiloma,2.0,26,2019,POR,0,175077,94.0,live
5.0,1040192,1,RSL,95236.0,Zarek Valentin,2.0,26,2019,POR,0,95236,94.0,live
12.6,1040192,1,RSL,55817.0,Diego Valeri,3.0,26,2019,POR,0,55817,94.0,live
7.6,1040192,1,RSL,45092.0,Jorge Villafana,2.0,26,2019,POR,0,45092,94.0,live
4.1,1040192,1,RSL,234420.0,Eryk Williamson,3.0,26,2019,POR,0,234420,94.0,live
5.9,1040192,1,RSL,196824.0,Renzo Zambrano,3.0,26,2019,POR,0,196824,94.0,live
12.2,1040187,1,MIN,232274.0,Eduard Atuesta,3.0,26,2019,LAFC,0,232274,94.0,live
4.0,1040187,1,MIN,247451.0,Lamar Batista,2.0,26,2019,LAFC,0,247451,94.0,live
6.3,1040187,1,MIN,82845.0,Steven Beitashour,2.0,26,2019,LAFC,0,82845,94.0,live
6.7,1040187,1,MIN,423123.0,Tristan Blackmon,2.0,26,2019,LAFC,0,423123,94.0,live
9.9,1040187,1,MIN,245764.0,Latif Blessing,3.0,26,2019,LAFC,0,245764,94.0,live
4.5,1040187,1,MIN,424995.0,Shaft Brewer Jr.,2.0,26,2019,LAFC,0,424995,94.0,live
4.8,1040187,1,MIN,61126.0,Danilo da Silva,2.0,26,2019,LAFC,0,61126,94.0,live
4.0,1040187,1,MIN,447557.0,Phillip Ejimadu,1.0,26,2019,LAFC,0,447557,94.0,live
8.4,1040184,0,CLB,99122.0,Francisco Calvo,2.0,26,2019,CHI,0,99122,94.0,live
4.0,1040184,0,CLB,443517.0,Diego Campos,2.0,26,2019,CHI,0,443517,94.0,live
4.5,1040184,0,CLB,245017.0,Stefan Cleveland,1.0,26,2019,CHI,0,245017,94.0,live
4.0,1040186,1,HOU,423406.0,Eric Dick,1.0,26,2019,SKC,0,423406,94.0,live
4.0,1040186,1,HOU,224651.0,Cameron Duke,3.0,26,2019,SKC,0,224651,94.0,live
6.1,1040186,1,HOU,50105.0,Roger Espinoza,3.0,26,2019,SKC,0,50105,94.0,live
6.7,1040186,1,HOU,20525.0,Benny Feilhaber,3.0,26,2019,SKC,0,20525,94.0,live
7.5,1040186,1,HOU,109320.0,Gerso Fernandes,3.0,26,2019,SKC,0,109320,94.0,live
4.7,1040186,1,HOU,61559.0,Andreu Fontas,2.0,26,2019,SKC,0,61559,94.0,live
4.0,1040186,1,HOU,439940.0,Tyler Freeman,4.0,26,2019,SKC,0,439940,94.0,live
10.0,1040186,1,HOU,83725.0,Felipe Gutierrez,3.0,26,2019,SKC,0,83725,94.0,live
4.0,1040186,1,HOU,88147.0,Nicolas Hasler,2.0,26,2019,SKC,0,88147,94.0,live
5.5,1040186,1,HOU,151953.0,Erik Hurtado,4.0,26,2019,SKC,0,151953,94.0,live
4.5,1040186,1,HOU,220205.0,Jaylin Lindsey,2.0,26,2019,SKC,0,220205,94.0,live
5.1,1040186,1,HOU,107617.0,Luis Martins,2.0,26,2019,SKC,0,107617,94.0,live
4.7,1040186,1,HOU,169013.0,Jimmy Medranda,2.0,26,2019,SKC,0,169013,94.0,live
6.9,1040186,1,HOU,86938.0,Tim Melia,1.0,26,2019,SKC,0,86938,94.0,live
5.9,1040186,1,HOU,42512.0,Krisztian Nemeth,4.0,26,2019,SKC,0,42512,94.0,live
8.9,1040186,1,HOU,42453.0,Johnny Russell,3.0,26,2019,SKC,0,42453,94.0,live
4.2,1040186,1,HOU,213866.0,Daniel Salloi,3.0,26,2019,SKC,0,213866,94.0,live
7.1,1040186,1,HOU,86155.0,Ilie Sanchez,3.0,26,2019,SKC,0,86155,94.0,live
5.2,1040186,1,HOU,82526.0,Seth Sinovic,2.0,26,2019,SKC,0,82526,94.0,live
5.5,1040186,1,HOU,200190.0,Graham Smith,2.0,26,2019,SKC,0,200190,94.0,live
4.0,1040186,1,HOU,60153.0,Rodney Wallace,2.0,26,2019,SKC,0,60153,94.0,live
5.6,1040186,1,HOU,104369.0,Yohan Croizet,3.0,26,2019,SKC,0,104369,94.0,live
4.2,1040186,1,HOU,427168.0,Gianluca Busio,3.0,26,2019,SKC,0,427168,94.0,live
6.9,1040186,1,HOU,60207.0,Matt Besler,2.0,26,2019,SKC,0,60207,94.0,live
6.4,1040186,1,HOU,85790.0,Botond Barath,2.0,26,2019,SKC,0,85790,94.0,live
4.5,1040184,0,CLB,423237.0,Elliot Collier,3.0,26,2019,CHI,0,423237,94.0,live
5.0,1040184,0,CLB,228605.0,Raheem Edwards,2.0,26,2019,CHI,0,228605,94.0,live
4.4,1040184,0,CLB,109326.0,Marcelo,2.0,26,2019,CHI,0,109326,94.0,live
6.4,1040184,0,CLB,140040.0,Przemyslaw Frankowski,3.0,26,2019,CHI,0,140040,94.0,live
