index,cost,event id,home,player name,round,season,DGW,opp last 5 gf,opp last 5 ga,opp last 3 h adj gf,opp last 3 h adj ga,team id,last 3 adjusted points avg,last 5 adjusted points avg,last 5 adjusted points max,last 5 adjusted points min,last 5 adjusted points std dev,last 3 h adj adjusted points avg,last 5 att bps avg,last 5 def bps avg,last 5 pas bps avg,opp last 8 adjusted points conceded by cluster,opp last 5 adjusted points conceded by position,opp last 8 adjusted points conceded by position,position id_1.0,position id_2.0,position id_3.0,position id_4.0,opponent_ATL,opponent_CHI,opponent_CLB,opponent_COL,opponent_DAL,opponent_DC,opponent_HOU,opponent_LA,opponent_LAFC,opponent_MIN,opponent_MTL,opponent_NE,opponent_NY,opponent_NYC,opponent_ORL,opponent_PHI,opponent_POR,opponent_RSL,opponent_SEA,opponent_SJ,opponent_SKC,opponent_TOR,opponent_VAN,cluster_0.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_10.0,cluster_11.0,cluster_12.0,cluster_13.0,cluster_14.0,cluster_15.0,cluster_16.0,cluster_17.0,cluster_18.0,cluster_19.0,cluster_20.0,cluster_21.0,cluster_22.0,cluster_23.0,cluster_24.0,cluster_25.0,loo avg points season,loo avg points
16586,8.0,968596.0,1.0,Tyler Adams,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,4.0,4.2,6.0,3.0,1.3038404810405329,3.6666666666666665,0.0,1.0,0.0,4.25,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.978260869565218,4.875
16587,8.9,968596.0,1.0,Tim Parker,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,6.333333333333333,6.0,9.0,2.0,3.24037034920393,8.333333333333334,0.0,1.2,0.0,3.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.544117647058823,5.4
16589,5.5,968596.0,1.0,Fidel Escobar,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,5.333333333333333,6.2,9.0,3.0,2.3874672772626644,7.0,0.0,2.4,0.2,2.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.222222222222222,6.25
16590,7.9,968596.0,1.0,Michael Murillo,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,7.333333333333333,6.4,8.0,2.0,2.6076809620810577,8.0,0.0,1.4,0.2,3.125,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71875,6.0588235294117645
16591,4.3,968596.0,1.0,Derrick Etienne Jr.,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,2.3333333333333335,2.6,4.0,2.0,0.8944271909999141,3.6666666666666665,0.2,0.2,0.0,3.875,5.4,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7333333333333334,3.7142857142857144
16592,4.3,968596.0,1.0,Alex Muyl,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,4.333333333333333,3.0,7.0,1.0,2.5495097567963922,4.0,0.2,0.4,0.0,4.0,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.333333333333333,5.0
16595,8.0,968596.0,1.0,Florian Valot,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,5.666666666666667,4.6,8.0,3.0,2.073644135332773,5.333333333333333,0.4,1.2,0.0,4.0,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.642857142857143,5.642857142857143
16598,4.0,968596.0,1.0,Kyle Duncan,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,5.666666666666667,7.0,11.0,3.0,4.618802153517006,11.0,0.0,2.0,0.0,2.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0
16603,7.5,968593.0,1.0,Clint Dempsey,31.0,2018.0,0,0.2,3.0,0.3333333333333333,2.0,3500,4.0,3.4,9.0,1.0,3.209361307176242,4.666666666666667,0.6,0.0,0.2,5.0,7.8,6.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.575757575757576,3.3333333333333335
16604,9.3,968593.0,1.0,Chad Marshall,31.0,2018.0,0,0.2,3.0,0.3333333333333333,2.0,3500,4.666666666666667,7.8,15.0,2.0,4.969909455915673,8.0,0.0,1.6,0.2,4.875,5.2,6.375,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.431372549019608,5.28
16605,4.0,968593.0,1.0,Roman Torres,31.0,2018.0,0,0.2,3.0,0.3333333333333333,2.0,3500,5.333333333333333,5.6,9.0,3.0,2.302172886644267,4.0,0.0,1.2,0.0,4.375,5.2,6.375,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0344827586206895,3.888888888888889
