2018_player_id,2018_player_name,2018_position_id,2018_team_id,2017_player_id,2017_player_name,2017_position_id,new_player_id
94934,Hector Jimenez,2,454,65,Hector Jimenez,3,94934
226637,Cristian Martinez,3,454,66,Cristian Martinez,3,226637
94368,Justin Meram,3,6900,67,Justin Meram,3,94368
82516,Tony Tchani,3,1207,70,Tony Tchani,3,82516
148995,Wil Trapp,3,454,71,Will Trapp,3,148995
152253,Adam Jahn,4,454,73,Adam Jahn,4,152253
55758,Ola Kamara,4,1230,74,Ola Kamara,4,55758
205343,Travis Worra,1,1326,78,Travis Worra,1,205343
129430,Steve Birnbaum,2,1326,79,Steve Birnbaum,2,129430
50122,Sean Franklin,2,1708,81,Sean Franklin,2,50122
116656,Taylor Kemp,2,1326,82,Taylor Kemp,2,116656
234432,Chris Odoi-Atsem,2,1326,83,Chris Odoi-Atsem,2,234432
151935,Kofi Opare,2,1326,84,Kofi Opare,2,151935
131839,Jalen Robinson,2,1326,85,Jalen Robinson,2,131839
179384,Luciano Acosta,3,1326,86,Luciano Acosta,3,179384
110580,Nick DeLeon,2,1326,88,Nick DeLeon,3,110580
211988,Chris Durkin,3,1326,89,Christopher Durkin,3,211988
226308,Ian Harkes,3,1326,90,Ian Harkes,3,226308
54916,Jared Jeffrey,3,1326,91,Jared Jeffrey,3,54916
68571,Lamar Neagle,3,3500,92,Lamar Neagle,3,68571
116661,Patrick Mullins,4,1326,100,Patrick Mullins,4,116661
157489,Jesse Gonzalez,1,1903,102,Jesse Gonzalez,1,157489
41679,Chris Seitz,1,1897,103,Chris Seitz,1,41679
245035,Reggie Cannon,2,1903,104,Reggie Cannon,2,245035
34285,Maynor Figueroa,2,1903,106,Maynor Figueroa,2,34285
110592,Matt Hedges,2,1903,109,Matt Hedges,2,110592
151933,Walker Zimmerman,2,11690,110,Walker Zimmerman,2,151933
149528,Kellyn Acosta,3,1903,111,Kellyn Acosta,3,149528
177653,Michael Barrios,3,1903,112,Michael Barrios,3,177653
56949,Mauro Diaz,3,1903,114,Mauro Diaz,3,56949
147744,Carlos Gruezo,3,1903,115,Carlos Gruezo,3,147744
226309,Jacori Hayes,3,1903,116,Jacori Hayes,3,226309
130056,Ryan Hollingshead,2,1903,117,Ryan Hollingshead,3,130056
18681,Roland Lamah,3,1903,118,Roland Lamah,3,18681
224377,Paxton Pomykal,3,1903,120,Paxton Pomykal,3,224377
95280,Victor Ulloa,3,1903,121,Victor Ulloa,3,95280
177947,Tesho Akindele,4,1903,122,Tesho Akindele,4,177947
224372,Jesus Ferreira,4,1903,123,Jesus Ferreira,4,224372
223353,Bryan Reynolds,4,1903,124,Bryan Reynolds,4,223353
97607,Maximiliano Urruti,4,1903,125,Maximiliano Urruti,4,97607
197011,Cristian Colman,4,1903,126,Cristian Colman,4,197011
245504,Adonijah Reid,4,1903,127,Adonijah Reid,4,245504
212003,Calle Brown,1,3500,128,Calle Brown,1,212003
95309,Joe Willis,1,1897,130,Joe Willis,1,95309
95228,Jalil Anibaba,2,928,132,Jalil Anibaba,2,95228
60214,A.J. DeLaGarza,2,1897,133,AJ DeLaGarza,2,60214
82519,Jose Leonardo Ribeiro da Silva,2,1897,134,Jose Leonardo Ribeiro da Silva,2,82519
99108,Adolfo Machado,2,1897,135,Adolfo Machado,2,99108
151950,Dylan Remick,2,1897,136,Dylan Remick,2,151950
82518,Eric Alexander,3,1897,138,Eric Alexander,3,82518
149669,Juan David Cabezas,3,1897,139,Juan David Cabezas,3,149669
55209,Boniek Garcia,3,1897,140,Boniek Garcia,3,55209
33823,Ricardo Clark,3,454,141,Ricardo Clark,3,33823
110633,Andrew Wenger,3,1897,144,Andrew Wenger,3,110633
173145,Alberth Elis,4,1897,145,Alberth Elis,4,173145
177658,Mauro Manotas,4,1897,146,Mauro Manotas,4,177658
119575,Romell Quioto,4,1897,147,Romell Quioto,4,119575
109275,Evan Bush,1,1616,150,Evan Bush,1,109275
179846,Victor Cabrera,2,1616,153,Victor Cabrera,2,179846
42584,Laurent Ciman,2,11690,155,Laurent Ciman,2,42584
131840,Chris Duvall,2,1616,156,Chris Duvall,2,131840
131824,Kyle Fisher,2,1616,157,Kyle Fisher,2,131824
197038,Louis Beland-Goyette,3,1616,160,Louis Beland-Goyette,3,197038
227780,David Choiniere,3,1616,163,David Choiniere,3,227780
8859,Marco Donadel,3,1616,164,Marco Donadel,3,8859
110606,Calum Mallace,3,11690,165,Calum Mallace,3,110606
37996,Ignacio Piatti,3,1616,166,Ignacio Piatti,3,37996
225062,Shamit Shome,3,1616,168,Shamit Shome,3,225062
172518,Nick DePuy,4,1616,170,Nick DePuy,4,172518
