adjusted_points,aps,ass,att_bps,att_points,bc,blk,br,cl,crs,cs,def_bps,def_points,elg,event_id,gc,gls,home,intc,kp,mins,og,oga,opponent,pas_bps,pcp,pe,player_id,player_name,pm,points,position_id,ps,pss,rc,round,season,sh,sv,tck,team,total_bps,wf,yc,count
3,11,0,1,1,0,0,1,1,0,0,0,0,0,968447,4,0,2,0,0,90,0,0,LAFC,0,0.6875,0,149359,Gyasi Zardes,0,3,4.0,0,16,0,19,2018,4,0,0,ORL,1,0,0,1
0,21,0,0,0,0,0,5,0,0,0,0,-2,0,968447,4,0,2,0,0,90,0,0,LAFC,0,0.875,0,164484,Zack Steffen,0,0,1.0,0,24,0,19,2018,0,1,0,ORL,0,1,0,1
2,1,0,0,0,0,0,2,0,0,1,0,1,0,968447,0,0,2,0,1,8,0,0,LAFC,0,0.25,0,168365,Emmanuel Boateng,0,2,3.0,0,4,0,19,2018,0,0,0,ORL,0,0,0,1
5,45,0,2,2,0,0,2,0,0,0,0,0,0,968447,4,0,2,0,3,90,0,0,LAFC,1,0.8823529411764706,0,179062,Eduardo Sosa,0,5,3.0,0,51,0,19,2018,5,0,0,ORL,3,3,0,1
7,23,0,0,0,0,1,3,1,0,1,0,5,0,968447,0,0,2,3,0,90,0,0,LAFC,0,0.8518518518518519,0,213213,Dave Romney,0,7,2.0,0,27,0,19,2018,0,0,3,ORL,0,0,0,1
4,28,0,0,0,0,3,6,8,0,0,4,2,1,968447,4,0,2,0,0,90,0,0,LAFC,0,0.8484848484848485,0,244927,Lalas Abubakar,0,3,2.0,0,33,0,19,2018,1,0,1,ORL,4,2,0,1
1,6,0,0,0,0,0,0,1,1,0,0,0,0,968447,2,0,2,0,1,45,0,0,LAFC,0,0.75,0,244998,Niko Hansen,0,1,3.0,0,8,0,19,2018,2,0,0,ORL,0,0,0,1
1,22,0,0,0,0,0,5,0,0,0,0,0,0,968447,2,0,2,0,1,59,0,0,LAFC,0,0.8461538461538461,0,422981,Luis Argudo,0,1,3.0,0,26,0,19,2018,3,0,0,ORL,0,0,0,1
8,20,0,0,0,0,0,6,5,0,1,2,7,0,968583,0,0,2,2,0,85,0,0,PHI,0,0.8,0,446568,Olivier Mbaizo,0,8,2.0,0,25,0,30,2018,0,0,2,SKC,2,1,1,1
1,22,0,0,0,0,0,5,1,0,0,0,0,0,968626,1,0,2,1,0,45,0,0,RSL,0,0.6875,0,423316,,0,1,,0,32,0,34,2018,0,0,2,NE,0,1,0,1
6,48,0,0,0,0,2,8,8,0,0,4,3,1,1039937,2,0,2,2,1,90,0,0,HOU,1,0.9411764705882353,0,244927,Lalas Abubakar,0,5,2.0,0,51,0,9,2019,2,0,0,CLB,5,0,0,1
1,3,0,0,0,0,0,0,0,0,1,0,0,0,1040039,0,0,2,0,0,10,0,0,NY,0,1.0,0,186262,Romario Williams,0,1,4.0,0,3,0,12,2019,0,0,0,ATL,0,0,0,1
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1040151,0,0,2,1,0,13,0,0,SJ,0,1.0,0,205295,,0,1,,0,1,0,25,2019,0,0,0,VAN,0,0,0,1
